"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","Language","DooProcessVersion","Description","SourceLang","ProcessDisplayName"
"2","ClickShipCollect2","AR","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","CS","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","D","2","Online-Bestellung und Abholung im Ladengeschäft oder Versand (mit warten auf Rückmeldung)","D","ClickShipCollectProcess2"
"2","ClickShipCollect2","DK","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","E","2","Pedir en línea y recoger en tienda o que se envíe(con una respuesta de espera)","E","ProcesoClicarEnviarRecoger2"
"2","ClickShipCollect2","EL","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","ESA","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","ET","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","F","2","Créer une commande d'achat en ligne et l'enlever du magasin ou demander qu'elle vous soit envoyé (avec réponse en attente)","F","ClickShipCollectProcess2"
"2","ClickShipCollect2","FRC","2","Créer une commande d'achat en ligne et l'enlever du magasin ou demander qu'elle vous soit envoyé (avec réponse en attente)","FRC","ClickShipCollectProcess2"
"2","ClickShipCollect2","HR","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","HU","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","I","2","Ordine on line e raccolta dal negozio o spedizione (con una risposta di attesa)","I","ClickProcessoSpedireRitirare2"
"2","ClickShipCollect2","IS","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
"2","ClickShipCollect2","IW","2","Order online and collect from store or have it shipped (with a wait response)","US","ClickShipCollectProcess2"
