"DescriptiveFlexfieldCode","ApplicationId","Name","Description","Delimiter","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin"
"IRC_OFFERS_DFF","821","Job Offer Descriptive Flexfield","Additional fields for offer (edit)",".","2017/03/19 07:26:28.0","SEED_DATA_FROM_APPLICATION","2022/04/15 01:24:55.0","CUSTOMIZED_USER","D9EAFABB5758547AE053B065F00A9F5F"
"PER_JOBS_DFF","800","Job Attributes","The Job Attributes",".","2013/08/08 06:37:44.0","SEED_DATA_FROM_APPLICATION","2014/02/10 14:31:58.0","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","Line Transactions","Fields for additional details on the transaction lines region.",".","2013/08/08 06:37:23.726","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.876","SEED_DATA_FROM_APPLICATION","-1"
"PO_ATTRIBUTE_VALUES","201","Purchase Agreement Line Item Values","Blanket agreement line item attribute values.",".","2013/08/08 06:25:53.963","SEED_DATA_FROM_APPLICATION","2013/08/08 06:25:54.182","SEED_DATA_FROM_APPLICATION","-1"
"PO_HEADERS","201","Purchasing Document Headers","A document header which contains identifying information.",".","2013/08/08 06:25:54.769","SEED_DATA_FROM_APPLICATION","2013/08/08 06:25:55.018","SEED_DATA_FROM_APPLICATION","-1"
"POR_INFORMATION_TEMPLATE","10071","Requisition Information Template","Requisition Information Template DFF",".","2013/08/08 06:29:41.0","SEED_DATA_FROM_APPLICATION","2013/08/08 06:29:41.25","SEED_DATA_FROM_APPLICATION","-1"
"EXM_EXPENSES","10016","Expenses","Fields for expense details.",".","2013/08/08 06:34:35.0","SEED_DATA_FROM_APPLICATION","2017/03/19 07:26:47.0","SEED_DATA_FROM_APPLICATION","-1"
"PJF_PROJECTS_DESC_FLEX","10037","Project Descriptive Flexfield","Master Flexfield Usage",".","2013/08/08 06:33:34.0","SEED_DATA_FROM_APPLICATION","2016/03/15 14:45:21.0","SEED_DATA_FROM_APPLICATION","-1"
"FRC_ASSESSMENT_CONTROL_DFF","10130","RM Assessment Control Flexfield","Fields for assessment control in risks and controls application.","!","2018/05/23 17:02:37.0","SEED_DATA_FROM_APPLICATION","2018/05/23 17:02:47.782","SEED_DATA_FROM_APPLICATION","-1"
"FRC_ASSESSMENT_PROCESS_DFF","10130","RM Assessment Process Flexfield","Fields for assessment process in risks and controls application.","!","2018/05/23 17:02:48.423","SEED_DATA_FROM_APPLICATION","2018/05/23 17:02:50.526","SEED_DATA_FROM_APPLICATION","-1"
"FRC_ASSESSMENT_RISK_DFF","10130","RM Assessment Risk Flexfield","Fields for assessment risk in risks and controls application.","!","2018/05/23 17:02:50.924","SEED_DATA_FROM_APPLICATION","2018/05/23 17:02:52.179","SEED_DATA_FROM_APPLICATION","-1"
"FRC_CONTROL_DFF","10130","RM Control FlexField","Fields for control in risks and controls application.","!","2017/08/17 00:31:21.0","SEED_DATA_FROM_APPLICATION","2017/08/17 00:31:52.775","SEED_DATA_FROM_APPLICATION","-1"
"FRC_ISSUE_DFF","10130","RM Issue Flexfield","Fields for issues in risks and controls application.","!","2018/02/23 02:59:47.0","SEED_DATA_FROM_APPLICATION","2018/02/23 03:00:18.114","SEED_DATA_FROM_APPLICATION","-1"
"FRC_PROCESS_DFF","10130","RM Process Flexfield","Fields for process in risks and controls application.","!","2017/08/17 00:31:53.75","SEED_DATA_FROM_APPLICATION","2017/08/17 00:31:54.48","SEED_DATA_FROM_APPLICATION","-1"
"FRC_REMEDIATION_PLAN_DFF","10130","RM Remediation Plan Flexfield","Fields for remediation plan in risks and controls application.","!","2018/05/23 17:02:53.824","SEED_DATA_FROM_APPLICATION","2018/05/23 17:02:54.736","SEED_DATA_FROM_APPLICATION","-1"
"FRC_RISK_DFF","10130","RM Risk Flexfield","Fields for risk in risks and controls application.","!","2018/02/23 03:00:19.054","SEED_DATA_FROM_APPLICATION","2018/02/23 03:00:20.662","SEED_DATA_FROM_APPLICATION","-1"
"EGP_TRADING_PARTNER_ITEMS_DFF","10011","EGP_TRADING_PARTNER_ITEMS_DFF","QA",".","2013/08/08 06:34:10.0","SEED_DATA_FROM_APPLICATION","2013/08/08 06:34:10.195","SEED_DATA_FROM_APPLICATION","-1"
"CN_COMP_PLANS_DFF","283","Incentive Compensation Plan","Master Flexfield Usage",".","2013/08/08 06:37:28.0","SEED_DATA_FROM_APPLICATION","2017/03/19 07:23:47.567","SEED_DATA_FROM_APPLICATION","-1"
"CN_PLAN_COMPONENTS_DFF","283","Incentive Compensation Plan Component","Master Flexfield Usage",".","2013/08/08 06:37:28.6","SEED_DATA_FROM_APPLICATION","2017/03/19 07:23:55.482","SEED_DATA_FROM_APPLICATION","-1"
"CN_PARTICIPANT_DETAIL_DFF","283","Participant Detail","Additional attributes for an incentive compensation participant, such as work assignment location and job.",".","2013/08/08 06:37:28.39","SEED_DATA_FROM_APPLICATION","2018/02/23 03:02:06.0","SEED_DATA_FROM_APPLICATION","-1"
"CN_TP_BASETRANS_DFF","283","Base Transaction","Additional attributes for incentive compensation transactions, such as sales channel and product.",".","2013/08/08 06:37:28.754","SEED_DATA_FROM_APPLICATION","2018/02/23 03:02:07.468","SEED_DATA_FROM_APPLICATION","-1"
"VRM_SOURCE_DOCUMENTS","10455","VRM Source Document","Flexfield for the VRM source document",".","2013/12/31 06:20:34.0","SEED_DATA_FROM_APPLICATION","2014/07/16 15:24:13.129","SEED_DATA_FROM_APPLICATION","-1"
"EGP_COMPONENT_DFF","10011","EGP_COMPONENT_DFF","Component Descriptive Flexfield",".","2013/08/08 06:29:40.0","SEED_DATA_FROM_APPLICATION","2013/08/08 06:29:40.265","SEED_DATA_FROM_APPLICATION","-1"
"EGO_CHANGE_LINE","10010","EGO_CHANGE_LINE","Change Line Descriptive Flexfield",".","2013/08/08 06:31:35.0","SEED_DATA_FROM_APPLICATION","2013/08/08 06:31:35.229","SEED_DATA_FROM_APPLICATION","-1"
"EGO_ENGINEERING_CHANGES","10010","EGO_ENGINEERING_CHANGES","Change Object Descriptive Flexfield Field",".","2013/08/08 06:31:35.274","SEED_DATA_FROM_APPLICATION","2013/08/08 06:31:35.452","SEED_DATA_FROM_APPLICATION","-1"
"WLF_LEARNING_ITEM","10503","Learning Item Additional Attributes","Additional Attributes for Learning Item",".","2017/10/10 19:04:02.0","SEED_DATA_FROM_APPLICATION","2018/06/04 12:31:03.326","SEED_DATA_FROM_APPLICATION","-1"
"WLF_LI_COURSE","10503","Learning Course Additional Attributes","Additional Attributes for Course",".","2017/10/10 19:04:13.957","SEED_DATA_FROM_APPLICATION","2018/06/04 12:31:04.557","SEED_DATA_FROM_APPLICATION","-1"
"WLF_LI_OFFERING","10503","Learning Offering Additional Attributes","Additional Attributes for Offering",".","2017/10/10 19:04:15.194","SEED_DATA_FROM_APPLICATION","2018/06/04 12:31:04.974","SEED_DATA_FROM_APPLICATION","-1"
"ContractHeaderFlexfield","510","Contract Headers","Additional Establishment Information",".","2013/08/08 06:30:37.0","SEED_DATA_FROM_APPLICATION","2014/03/07 16:40:38.086","SEED_DATA_FROM_APPLICATION","-1"
"OKC_LINES_DESC_FLEX","510","Contract Line","Fields for contract line create and edit pages.",".","2013/08/08 06:30:37.665","SEED_DATA_FROM_APPLICATION","2014/03/07 16:40:38.441","SEED_DATA_FROM_APPLICATION","-1"
"WIS_WD_OPERATIONS_B","10494","Work Definition Operations","Additional fields for work definition operations on the operation dialog",".","2016/02/26 09:35:23.0","SEED_DATA_FROM_APPLICATION","2016/02/26 09:35:23.436","SEED_DATA_FROM_APPLICATION","-1"
