"FND_APP_DESCRIPTIVE_FLEXFIELD.DescriptiveFlexfieldCode","FND_APP_DESCRIPTIVE_FLEXFIELD.ApplicationId","ContextCode","ContextIdentifier","Name","Description","InstructionHelpText","EnabledFlag","MultirowFlag","AdvancedQueryFlag","TranslatableFlag","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin"
"PER_JOBS_DFF","800","EEO6","Eeo6","EEO6","EEO6 Codes for Higher Education","","Y","","","","2016/04/22 16:29:53.0","CUSTOMIZED_USER","2016/04/22 16:30:22.102","CUSTOMIZED_USER","3115ECB7CAAE03DBE053790B548CC5A0"
"PER_JOBS_DFF","800","LAW","Law","LAW","","","Y","","","","2016/10/19 13:37:53.0","CUSTOMIZED_USER","2016/10/19 13:38:15.735","CUSTOMIZED_USER","3F38DBD175290B7CE0537AA3FD0A1002"
"PER_JOBS_DFF","800","SMCR","Smcr","SMCR","","","Y","","","","2016/10/07 08:52:57.295","CUSTOMIZED_USER","2016/10/07 08:53:52.199","CUSTOMIZED_USER","3E436F6D32371B2DE0537AA3FD0AF619"
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","","Contract Internal Invoices","Capture contract details on internal invoice lines.","","Y","","","","2013/08/08 06:37:23.903","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.887","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","","Contract Invoices","Capture contract details on invoice lines.","","Y","","","","2013/08/08 06:37:24.016","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.898","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","Contracts Context","ContractsContext","Contracts Context","","","Y","","","","2017/09/19 17:54:57.0","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.761","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","DOO","","Distributed Order Orchestration","Capture Invoice lines details from Distributed Order Orchestration.","","Y","","","","2013/08/08 06:37:24.143","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.912","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","DS TRANSACTIONS BUILD AR","DsTransactionsBuildAr","DS TRANSACTIONS BUILD AR","","","Y","","","","2019/03/06 09:22:55.0","CUSTOMIZED_USER","2019/03/06 09:24:20.112","CUSTOMIZED_USER","836A6C71E6EF0FC4E053C390DF0A629A"
"RA_INTERFACE_LINES","222","EXTERNAL_SOURCE","","External Source","External Source Import","","Y","","","","2013/10/31 13:22:47.472","CUSTOMIZED_USER","2013/10/31 13:23:14.694","CUSTOMIZED_USER","EA070FCA706043B2E0436204548C3748"
"RA_INTERFACE_LINES","222","FOS","","Supply Chain Financial Orchestration","Product to orchestrate the intercompany and intracompany trade and financial transactions based on trade agreement","","Y","","","","2014/07/16 15:26:31.475","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.373","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","GLOBAL_PROCUREMENT","","Global Procurement","Capture global procurement details on interface lines.","","Y","","","","2013/08/08 06:37:24.311","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.942","SEED_DATA_FROM_APPLICATION","-1"
"RA_INTERFACE_LINES","222","GSE_BUILD","","GSE Build","Used for GSE automated transaction build.","","Y","","","","2013/10/31 13:25:09.627","CUSTOMIZED_USER","2013/10/31 13:27:12.44","CUSTOMIZED_USER","EA070FCA706043B2E0436204548C3748"
