"FND_APP_DESCRIPTIVE_FLEXFIELD.DescriptiveFlexfieldCode","FND_APP_DESCRIPTIVE_FLEXFIELD.ApplicationId","ORA_FND_APP_DESCRIPTIVE_FLEXFIELD_CONTEXT.ContextCode","SegmentCode","SegmentIdentifier","ColumnName","Name","Description","Prompt","ShortPrompt","TerminologyHelpText","InFieldHelpText","SequenceNumber","EnabledFlag","DisplayType","DisplayWidth","DisplayHeight","CheckboxCheckedValue","CheckboxUncheckedValue","RequiredFlag","RangeType","DefaultType","DefaultValue","DefaultValueNumber","DefaultValueDate","DefaultValueTimestamp","DerivationValue","ReadOnlyFlag","BIEnabledFlag","BIEqualizationTag","IndexedFlag","MultirowUniqueKeyFlag","ShowValueDescription","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin","ValueSetCode","UomClassCode"
"PER_JOBS_DFF","800","EEO6","EEO6","eeo6","ATTRIBUTE1","EEO6","EEO6 Codes for Higher Education","EEO6","EEO6","","","10","Y","LOV","2","1","","","N","","","","","","","","N","Y","","N","","N","2016/04/22 16:30:31.12","CUSTOMIZED_USER","2016/04/22 16:35:37.569","CUSTOMIZED_USER","3115ECB7CAAE03DBE053790B548CC5A0","EEO6 Codes",""
"PER_JOBS_DFF","800","LAW","Data Source Job Ref Code ","dataSourceJobRefCode","ATTRIBUTE2","Data Source Job Ref Code ","","Data Source Job Ref Code ","Data Source Job Ref Code ","","","30","Y","TEXT_BOX","25","5","","","N","","","","","","","","N","Y","","N","","N","2016/10/19 13:43:02.084","CUSTOMIZED_USER","2016/10/19 13:43:36.768","CUSTOMIZED_USER","3F38DBD175290B7CE0537AA3FD0A1002","GSE_100_Char",""
"PER_JOBS_DFF","800","LAW","Date of data","dateOfData","ATTRIBUTE_DATE1","Date of data","","Date of data","Date of data","","","20","Y","DATE_TIME","20","20","","","N","","","","","","","","N","Y","","N","","N","2016/10/19 13:41:34.55","CUSTOMIZED_USER","2016/10/19 13:42:09.318","CUSTOMIZED_USER","3F38DBD175290B7CE0537AA3FD0A1002","GSE_Date_Format",""
"PER_JOBS_DFF","800","LAW","Market Rate Data Source","marketRateDataSource","ATTRIBUTE1","Market Rate Data Source","","Market Rate Data Source","Market Rate Data Source","","","10","Y","TEXT_BOX","55","5","","","N","","","","","","","","N","Y","","N","","N","2016/10/19 13:38:49.883","CUSTOMIZED_USER","2016/10/19 17:00:07.0","CUSTOMIZED_USER","3F3B70A7087D4F1AE0537AA3FD0A25DC","GSE_100_Char",""
"PER_JOBS_DFF","800","LAW","Median","median","ATTRIBUTE3","Median","","Median","Median","","","40","Y","TEXT_BOX","10","5","","","N","","","","","","","","N","Y","","N","","N","2016/10/19 13:43:56.22","CUSTOMIZED_USER","2016/10/19 13:44:23.402","CUSTOMIZED_USER","3F38DBD175290B7CE0537AA3FD0A1002","30 Characters",""
"PER_JOBS_DFF","800","SMCR","Certification Function","certificationFunction","ATTRIBUTE5","Certification Function","","Certification Function","Certification Function","","","40","Y","LOV","40","","","","N","","","","","","","","N","Y","","N","","N","2018/10/31 17:28:09.716","CUSTOMIZED_USER","2018/10/31 17:31:40.53","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122","SMCR_CertificationFunctions",""
"PER_JOBS_DFF","800","SMCR","Certification Required?","certificationRequired","ATTRIBUTE2","Certification Required?","","Certification Required?","Certification Required?","","","20","Y","CHECKBOX","","","Y","N","N","","","","","","","","N","Y","","N","","N","2016/10/07 09:03:42.399","CUSTOMIZED_USER","2016/10/07 09:04:37.573","CUSTOMIZED_USER","3E436F6D32371B2DE0537AA3FD0AF619","YN",""
"PER_JOBS_DFF","800","SMCR","Conduct Rules Apply?","conductRulesApply","ATTRIBUTE3","Conduct Rules Apply?","","Conduct Rules Apply?","Conduct Rules Apply?","","","30","Y","CHECKBOX","","","Y","N","N","","","","","","","","N","Y","","N","","N","2016/10/07 09:04:40.556","CUSTOMIZED_USER","2016/10/07 09:05:46.613","CUSTOMIZED_USER","3E436F6D32371B2DE0537AA3FD0AF619","YN",""
"PER_JOBS_DFF","800","SMCR","SMF","smf","ATTRIBUTE4","SMF","","SMF","SMF","","","15","Y","LOV","50","","","","N","","","","","","","","N","Y","","N","","N","2018/10/31 16:50:55.029","CUSTOMIZED_USER","2018/10/31 17:31:40.516","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122","SMF_value_set",""
"PER_JOBS_DFF","800","SMCR","Senior Manager","seniorManager","ATTRIBUTE1","Senior Manager","","Senior Manager","Senior Manager","","","10","Y","CHECKBOX","","","Y","N","N","","","","","","","","N","Y","","N","","N","2016/10/07 08:56:21.289","CUSTOMIZED_USER","2016/10/07 09:03:25.521","CUSTOMIZED_USER","3E436F6D32371B2DE0537AA3FD0AF619","YN",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Contract Id","","INTERFACE_LINE_ATTRIBUTE2","Contract Id","","Contract Id","Contract Id","","","2","Y","TEXT_BOX","18","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.91","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.888","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Contract Number","","INTERFACE_LINE_ATTRIBUTE1","Contract Number","","Contract Number","Contract Number","","","1","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.928","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.889","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
