"FND_APP_FLEX_VALUE_SET.ValueSetCode","Value","IndependentValue","IndependentValueNumber","IndependentValueDate","IndependentValueTimestamp","ValueNumber","ValueDate","ValueTimestamp","TranslatedValue","Description","EnabledFlag","StartDateActive","EndDateActive","SummaryFlag","FlexValueAttribute1","FlexValueAttribute2","FlexValueAttribute3","FlexValueAttribute4","FlexValueAttribute5","FlexValueAttribute6","SortOrder","ExternalDataSource","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin"
"Piece Work Units","5","","","","","5","","","","Unit Rate","Y","2017/01/01","","","","","","","","","","","2018/03/21 06:15:40.968","CUSTOMIZED_USER","2018/03/21 06:18:24.749","CUSTOMIZED_USER","67E707E5BC89ADBBE053E9A7FD0AF710"
"SMCR_CertificationFunctions","CR 8 - Functions that are subject to qualification requirements","","","","","","","","","Functions that are subject to qualification requirements","Y","","","","","","","","","","","","2018/10/31 18:00:31.803","CUSTOMIZED_USER","2018/10/31 18:00:41.052","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR1 - Material Risk Taker","","","","","","","","","Material Risk Taker","Y","","","","","","","","","","","","2018/10/31 17:59:28.0","CUSTOMIZED_USER","2018/10/31 18:00:39.66","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR2 - Algorithmic traders","","","","","","","","","Algorithmic traders","Y","","","","","","","","","","","","2018/10/31 17:59:36.799","CUSTOMIZED_USER","2018/10/31 18:00:40.314","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR3 - Anyone who supervises or manages anyone performing one of the functions above","","","","","","","","","Anyone who supervises or manages anyone performing one of the functions above","Y","","","","","","","","","","","","2018/10/31 17:59:44.072","CUSTOMIZED_USER","2018/10/31 18:00:40.392","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR4 - CASS oversight function","","","","","","","","","CASS Oversight Function","Y","","","","","","","","","","","","2018/10/31 17:59:51.466","CUSTOMIZED_USER","2018/10/31 18:00:40.51","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR5 - Client Dealing Function","","","","","","","","","Client Dealing Function","Y","","","","","","","","","","","","2018/10/31 17:59:59.912","CUSTOMIZED_USER","2018/10/31 18:00:40.603","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR6 - Significant Management Function","","","","","","","","","Significant Management Function","Y","","","","","","","","","","","","2018/10/31 18:00:13.449","CUSTOMIZED_USER","2018/10/31 18:00:40.693","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"SMCR_CertificationFunctions","CR7 - Proprietary traders","","","","","","","","","Proprietary traders","Y","","","","","","","","","","","","2018/10/31 18:00:21.54","CUSTOMIZED_USER","2018/10/31 18:00:40.985","CUSTOMIZED_USER","79894F465DB15E8EE0537990DF0A4122"
"Expense Location","Beijing","","","","","","","","","Beijing","Y","","","","","","","","","","","","2014/08/05 14:59:44.005","CUSTOMIZED_USER","2014/08/05 15:00:19.379","CUSTOMIZED_USER","FFE2283921DA3D63E0436204548C949D"
"Expense Location","Hyderabad","","","","","","","","","Hyderabad","Y","","","","","","","","","","","","2014/08/05 15:01:28.351","CUSTOMIZED_USER","2014/08/05 15:01:47.875","CUSTOMIZED_USER","FFE2283921DA3D63E0436204548C949D"
"Expense Location","London","","","","","","","","","London","Y","","","","","","","","","","","","2014/08/05 15:00:55.23","CUSTOMIZED_USER","2014/08/05 15:01:23.244","CUSTOMIZED_USER","FFE2283921DA3D63E0436204548C949D"
"Expense Location","San Francisco","","","","","","","","","San Francisco","Y","","","","","","","","","","","","2014/08/05 14:57:50.441","CUSTOMIZED_USER","2014/08/05 14:59:07.133","CUSTOMIZED_USER","FFE2283921DA3D63E0436204548C949D"
"Expense Location","Tokyo","","","","","","","","","Tokyo","Y","","","","","","","","","","","","2014/08/05 15:00:22.539","CUSTOMIZED_USER","2014/08/05 15:00:50.746","CUSTOMIZED_USER","FFE2283921DA3D63E0436204548C949D"
"GSE_Loyalty_Status","Gold","","","","","","","","","Gold Level Status","Y","2014/03/06","","","","","","","","","","","2014/03/06 17:21:52.573","CUSTOMIZED_USER","2014/03/06 17:22:31.922","CUSTOMIZED_USER","F3F446FE2FE31DAAE0436204548C132E"
"GSE_Loyalty_Status","None","","","","","","","","","None or Other Status","Y","2014/03/06","","","","","","","","","","","2014/03/06 17:22:35.42","CUSTOMIZED_USER","2014/03/06 17:22:53.751","CUSTOMIZED_USER","F3F446FE2FE31DAAE0436204548C132E"
"GSE_Network_Provider","FlinG","","","","","","","","","FlinG Telecommunications Group","Y","2014/03/10","","","","","","","","","","","2014/03/10 15:35:53.429","CUSTOMIZED_USER","2014/03/10 15:36:31.212","CUSTOMIZED_USER","F442B016E4962A47E0436204548C4B75"
"GSE_Network_Provider","VT","","","","","","","","","VT (Telecommunications)","Y","2014/03/10","","","","","","","","","","","2014/03/10 15:35:14.445","CUSTOMIZED_USER","2014/03/10 15:35:45.919","CUSTOMIZED_USER","F442B016E4962A47E0436204548C4B75"
"GSE_Network_Provider","Zmobile","","","","","","","","","Zmobile Telecommunications","Y","2014/03/10","","","","","","","","","","","2014/03/10 15:34:11.592","CUSTOMIZED_USER","2014/03/10 15:35:10.337","CUSTOMIZED_USER","F442B016E4962A47E0436204548C4B75"
"US_ELEMENT_UNION_LIST","Local_100","","","","","","","","","","Y","","","","","","","","","","","","2014/09/03 15:00:01.373","CUSTOMIZED_USER","2014/09/03 15:00:06.396","CUSTOMIZED_USER","0228D2143085107AE0536204548C6801"
"US_ELEMENT_UNION_LIST","Local_669","","","","","","","","","","Y","","","","","","","","","","","","2014/09/03 15:00:08.805","CUSTOMIZED_USER","2014/09/03 15:00:12.622","CUSTOMIZED_USER","0228D2143085107AE0536204548C6801"
"US_ELEMENT_UNION_LIST","Local_751","","","","","","","","","","Y","","","","","","","","","","","","2014/09/03 15:00:14.254","CUSTOMIZED_USER","2014/09/03 15:00:18.055","CUSTOMIZED_USER","0228D2143085107AE0536204548C6801"
"Planning_Categories_VS","100","","","","","","","","","Miscellaneous Planning","Y","","","","","","","","","","","","2015/11/18 12:30:36.022","CUSTOMIZED_USER","2015/11/18 12:31:02.101","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","1000","","","","","","","","","Green Desktops","Y","","","","","","","","","","","","2015/11/18 12:31:24.203","CUSTOMIZED_USER","2015/11/18 12:31:40.733","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","1010","","","","","","","","","Sentinel Desktops","Y","","","","","","","","","","","","2015/11/18 12:31:57.366","CUSTOMIZED_USER","2015/11/18 12:32:04.641","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","2000","","","","","","","","","Green Laptops","Y","","","","","","","","","","","","2015/11/18 12:34:26.905","CUSTOMIZED_USER","2015/11/18 12:34:41.168","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","2010","","","","","","","","","Sentinel Laptops","Y","","","","","","","","","","","","2015/11/18 12:34:53.211","CUSTOMIZED_USER","2015/11/18 12:34:58.959","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","2020","","","","","","","","","Ultra Laptops","Y","","","","","","","","","","","","2015/11/18 12:35:08.049","CUSTOMIZED_USER","2015/11/18 12:35:19.844","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","3000","","","","","","","","","Green Servers","Y","","","","","","","","","","","","2015/11/18 12:35:30.214","CUSTOMIZED_USER","2015/11/18 12:35:35.578","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","3010","","","","","","","","","Sentinel Servers","Y","","","","","","","","","","","","2015/11/18 12:35:43.501","CUSTOMIZED_USER","2015/11/18 12:35:48.547","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","3020","","","","","","","","","Ultra Power Servers","Y","","","","","","","","","","","","2015/11/18 12:35:58.748","CUSTOMIZED_USER","2015/11/18 12:36:03.866","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","3030","","","","","","","","","Vision Servers","Y","","","","","","","","","","","","2016/07/14 15:45:08.0","CUSTOMIZED_USER","2016/07/14 15:46:24.236","CUSTOMIZED_USER","379AD6FE191743FBE0537AA3FD0AEF08"
"Planning_Categories_VS","4000","","","","","","","","","Slimline Tablets","Y","","","","","","","","","","","","2015/11/18 12:36:11.155","CUSTOMIZED_USER","2015/11/18 12:36:16.5","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","4010","","","","","","","","","SlimlineAir Tablets","Y","","","","","","","","","","","","2015/11/18 12:36:23.321","CUSTOMIZED_USER","2015/11/18 12:36:29.287","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","4020","","","","","","","","","SlimlineMini Tablets","Y","","","","","","","","","","","","2015/11/18 12:36:46.468","CUSTOMIZED_USER","2015/11/18 12:36:56.308","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","4030","","","","","","","","","Tablets P2P","Y","","","","","","","","","","","","2015/11/18 12:37:04.85","CUSTOMIZED_USER","2015/11/18 12:37:10.081","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","4250","","","","","","","","","Tablet Slimline","Y","","","","","","","","","","","","2015/12/10 09:12:12.0","CUSTOMIZED_USER","2015/12/10 09:13:15.75","CUSTOMIZED_USER","26866F87906315A8E053790B548C3BD0"
"Planning_Categories_VS","4500","","","","","","","","","Slimline Model","Y","","","","","","","","","","","","2016/01/11 15:57:14.0","CUSTOMIZED_USER","2016/01/11 15:58:21.507","CUSTOMIZED_USER","291139C80CF415F4E053790B548C6943"
"Planning_Categories_VS","4600","","","","","","","","","Slilime Option Class","Y","","","","","","","","","","","","2016/01/11 15:58:25.257","CUSTOMIZED_USER","2016/01/11 15:58:43.945","CUSTOMIZED_USER","291139C80CF415F4E053790B548C6943"
"Planning_Categories_VS","5000","","","","","","","","","Smartphones","Y","","","","","","","","","","","","2015/11/18 12:37:18.211","CUSTOMIZED_USER","2015/11/18 12:37:25.974","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","5500","","","","","","","","","Printers","Y","","","","","","","","","","","","2015/11/18 12:37:50.366","CUSTOMIZED_USER","2015/11/18 12:38:15.991","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","5600","","","","","","","","","Software","Y","","","","","","","","","","","","2016/08/04 12:22:02.0","CUSTOMIZED_USER","2016/08/04 12:23:14.83","CUSTOMIZED_USER","3935F2B6205D7493E0537AA3FD0A33A2"
"Planning_Categories_VS","5700","","","","","","","","","Accessories","Y","","","","","","","","","","","","2016/10/13 08:23:58.739","CUSTOMIZED_USER","2016/10/13 08:24:54.73","CUSTOMIZED_USER","3EB9AF6F77B73B8EE0537AA3FD0A10EF"
"Planning_Categories_VS","6000","","","","","","","","","Tablet Accessories","Y","","","","","","","","","","","","2015/11/18 12:38:34.048","CUSTOMIZED_USER","2015/11/18 12:38:39.216","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","6100","","","","","","","","","Tablet Components","Y","","","","","","","","","","","","2015/11/18 12:39:00.738","CUSTOMIZED_USER","2015/11/18 12:39:19.438","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
