"OrchestrationApplicationCode","StatusRulesetCode","CreatedBy","LastUpdatedBy","Name"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","SCM_IMPL","SCM_IMPL","Copy of Copy of ClickShipCollect1-Version 1"
"DOO","Copy of ClickShipCollect1","SCM_IMPL","SCM_IMPL","Copy of ClickShipCollect1"
"DOO","Copy 1 of ClickShipCollect1","SCM_IMPL","SCM_IMPL","Copy 1 of ClickShipCollect1"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SCM_IMPL","SCM_IMPL","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SCM_IMPL","SCM_IMPL","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set"
"DOO","Copy of DOO_Return_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy of Return Order Status Rule Set"
"DOO","Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SCM_IMPL","SCM_IMPL","Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set"
"DOO","CustomDOO_CloseOrder","SCM_IMPL","SCM_IMPL","CustomDOO_CloseOrder"
"DOO","Copy 2 of Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 2","SCM_IMPL","SCM_IMPL","Copy 2 of Copy 3 of Ship Order Status Rule Set-Version 2"
"DOO","Copy 1 of Ship Order Status Rule Set","SCM_IMPL","SCM_IMPL","Copy 1 of Ship Order Status Rule Set"
"DOO","ClickShipCollect1","SCM_IMPL","SCM_IMPL","ClickShipCollect1"
"DOO","Copy of Copy of ClickShipCollect1","SCM_IMPL","SCM_IMPL","Copy of Copy of ClickShipCollect1"
"DOO","Manual Ship Order Status Rule Set","SCM_IMPL","SCM_IMPL","Manual Ship Order Status Rule Set"
"DOO","ShipOrderProcess","SCM_IMPL","SCM_IMPL","ShipOrderProcess"
"DOO","Copy of ClickShipCollect1-Version 1","SCM_IMPL","SCM_IMPL","Copy of ClickShipCollect1-Version 1"
"DOO","ClickShipCollect1-Version 1","SCM_IMPL","SCM_IMPL","ClickShipCollect1-Version 1"
"DOO","Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 1","SCM_IMPL","SCM_IMPL","Copy 3 of Ship Order Status Rule Set-Version 1"
"DOO","Copy 1 of DOO_Ship_Order_Status_Rule_Set-Version 2","SCM_IMPL","SCM_IMPL","Copy 3 of Ship Order Status Rule Set-Version 2"
"DOO","Copy 1 of DOO_Ship_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy 3 of Ship Order Status Rule Set"
"DOO","Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SCM_IMPL","SCM_IMPL","Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set"
"DOO","Copy 4 of DOO_Ship_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy 6 of Ship Order Status Rule Set"
"DOO","Copy of Copy of DOO_Return_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy of Copy of Return Order Status Rule Set"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy 4 of Ship Order Status Rule Set"
"DOO","Copy 3 of DOO_Ship_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy 5 of Ship Order Status Rule Set"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","SCM_IMPL","SCM_IMPL","Copy 4 of Ship Order Status Rule Set-Version 1"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SCM_IMPL","SCM_IMPL","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","SCM_IMPL","SCM_IMPL","Copy 2 of Return Order Status Rule Set"
