"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","800","AR","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","CS","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","D","D","Fördermaschineaufnahme","Aufteilen"
"2","ClickShipCollect2","DOO","2","800","DK","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","E","E","Recofida por transportista","Fraccionar"
"2","ClickShipCollect2","DOO","2","800","EL","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","ESA","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","ET","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","F","F","Prélèvement transporteur","Fractionner"
"2","ClickShipCollect2","DOO","2","800","FRC","FRC","Prélèvement transporteur","Fractionner"
"2","ClickShipCollect2","DOO","2","800","HR","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","HU","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","I","I","Ritiro corriere","Dividere"
"2","ClickShipCollect2","DOO","2","800","IS","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","IW","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","JA","JA","キャリア・ピックアップ","分割"
"2","ClickShipCollect2","DOO","2","800","KO","KO","수송사 Pickup","분열"
"2","ClickShipCollect2","DOO","2","800","LT","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","LV","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","N","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","NL","NL","Ophalen door transporteur","Split"
"2","ClickShipCollect2","DOO","2","800","PL","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","PT","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","PTB","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","RO","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","RU","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","S","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","SF","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","SK","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","SL","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","TH","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","TR","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","UK","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","US","US","Carrier Pickup","Split"
"2","ClickShipCollect2","DOO","2","800","VN","US","Carrier Pickup","Split"
