"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","OrchestrationApplicationCode","DooProcessVersion","StepNumber","CheckWithFsBeforeChange","CompPatternRlsId","CompPatternRlsName","CustomerLastStepFlag","DefaultBranchFlag","DefaultExitStatusCode","DefaultLeadTime","DefaultLeadTimeUom","ExitCriteriaStatusCode","HoldOnWait","LeadTimeRlsId","LeadTimeRlsName","ManualStepFlag","ParentStepNumber","PreviousVersionStepId","ReuseLabel","SplitUnitName","StepFilterRlsId","StepFilterRlsName","StepName","StepType","SubProcessVersion","SwitchConditionEvalSeq","SwitchRlsId","SwitchRlsName","UseDynamicAttrInDeltaComp","UseFlexAttrInDeltaComp","ServiceCode","CreatedBy","LastUpdatedBy","OtherwiseFlag","StartAfterCondRlsId","StartAfterCondRlsName","StartDateActive","EndDateActive","SubProcessIdentifier","HoldServiceCode","CancelServiceCode","UpdateServiceCode","TaskCode","SplitableFlag"
"2","ClickShipCollect2","DOO","2","800","","","","N","N","CARRIER_PICKUP_COMPLETE","12","HOURS","","","","","N","700","","","SPLIT","","","Carrier Pickup","SERVICE","","","","","Y","Y","Create Carrier Pickup","SCM_IMPL","SCM_IMPL","N","","","","","","","","","CarrierPickup",""
"2","ClickShipCollect2","DOO","2","100","","","","N","N","CREDIT_CARD_APPROVED","1","MINUTES","","","","","N","","","","SPLIT","","","Credit Card Payment","SERVICE","","","","","Y","Y","Create Credit Card Approval","SCM_IMPL","SCM_IMPL","N","","","","","","","","","Credit Card Payment",""
"2","ClickShipCollect2","DOO","2","1300","","","","Y","N","AWAIT_SHIP","5","MINUTES","","","","","N","1200","","","SPLIT","","","Awaiting Customer Pickup","SERVICE","","","","","Y","Y","DOO_Create_Shipping","SCM_IMPL","SCM_IMPL","N","","","","","","","DOO_Cancel_Shipping","DOO_Update_Shipping","CustomerPickup",""
"2","ClickShipCollect2","DOO","2","1400","","","","N","N","SHIPPED","24","HOURS","SHIPPED","","","","N","1300","","","SPLIT","","","Wait for Customer Pickup","SERVICE","","","","","Y","Y","DOO_Wait_for_Shipment","SCM_IMPL","SCM_IMPL","N","","","","","","","","","CustomerPickup",""
"2","ClickShipCollect2","DOO","2","400","","","","N","N","RESERVED","5","MINUTES","","","","","N","300","","","SPLIT","","","Create Reservation","SERVICE","","2","","","Y","Y","DOO_Create_Inventory_Reservation","SCM_IMPL","SCM_IMPL","Y","","","","","","","DOO_Cancel_Inventory_Reservation","DOO_Update_Inventory_Reservation","DOO_Reserve",""
"2","ClickShipCollect2","DOO","2","200","","","","N","N","SCHEDULED","1","MINUTES","","","","","N","100","","","SPLIT","","","Schedule","SERVICE","","","","","Y","Y","DOO_Create_Scheduling","SCM_IMPL","SCM_IMPL","N","","","","","","","DOO_Cancel_Scheduling","DOO_Update_Scheduling","DOO_Schedule",""
"2","ClickShipCollect2","DOO","2","700","","","","N","N","SHIPPED","24","HOURS","SHIPPED","","","","N","600","","","SPLIT","","","Wait for Shipment","SERVICE","","","","","Y","Y","DOO_Wait_for_Shipment","SCM_IMPL","SCM_IMPL","N","","","","","","","","","DOO_Ship",""
"2","ClickShipCollect2","DOO","2","600","","","","Y","N","AWAIT_SHIP","5","MINUTES","","","","","N","500","","","SPLIT","","","Ship to Customer","SERVICE","","","","","Y","Y","DOO_Create_Shipping","SCM_IMPL","SCM_IMPL","N","","","","","","","DOO_Cancel_Shipping","DOO_Update_Shipping","DOO_Ship",""
"2","ClickShipCollect2","DOO","2","900","","","","N","N","DELIVER_TO_CUSTOMER","48","HOURS","","","","","N","800","","","SPLIT","","","Delivered to Customer","SERVICE","","","","","Y","Y","Create Delivery Confirmation","SCM_IMPL","SCM_IMPL","N","","","","","","","","","DeliveryConfirmation",""
"2","ClickShipCollect2","DOO","2","1200","","","","N","N","","1","MINUTES","","","","","N","1100","","","SPLIT","","","Notify Customer","SERVICE","","","","","Y","Y","Create Customer Notification","SCM_IMPL","SCM_IMPL","N","","","","","","","","","NotifyCustomer",""
